report_file,model,modulate,loss,n_galaxies,n_points,chi2_total,median_chi2_dof_like,mean_chi2_dof_like,bad_fit_fraction_gt20,very_bad_fit_fraction_gt100,aic_like,bic_like,A,log10_g1,gamma,Bs,Ydisk,Ybul,objective,success
cos_dm_v6_2_1_g1_report.json,global_mod_v6,g1,chi2,171,3375,122248.33254302322,11.21397977046372,30.848652044383122,0.34502923976608185,0.07602339181286549,122284.33254302322,122394.56725388273,0.8034256912025846,-10.212823180595054,2.5318500990155286,-0.0051977062491547705,0.5338371668533428,0.7960861111485285,122274.83578401679,True
cos_dm_v6_2_1_hybrid_huber_report.json,global_mod_v6,hybrid,huber,171,3375,144681.00571540048,13.30354891933958,36.250525404212304,0.3742690058479532,0.07602339181286549,144719.00571540048,144835.3645768633,1.3706894687166162,-10.272096093024897,0.10330990436371978,0.0011859354780801024,0.41056847382848427,0.5517035453165415,27983.710255471648,True
cos_dm_v6_2_1_hybrid_report.json,global_mod_v6,hybrid,chi2,171,3375,123656.16476835529,13.319788459721993,31.34538371134347,0.38011695906432746,0.08187134502923976,123694.16476835529,123810.52362981811,0.7804854092314277,-9.832370482314252,2.4360405191862133,0.0016668365521545882,0.42940924737014247,0.7478225180846266,123663.5444388602,True
cos_dm_v6_2_amp_report.json,global_mod_v6,amplitude,chi2,171,3375,133930.7088989959,12.44262803504237,32.51384637414009,0.38596491228070173,0.08771929824561403,133966.7088989959,134076.9436098554,0.829335528900801,-9.336668632212547,1.5783239347841818,-0.003359723408785763,0.3800679560970463,0.6605373907856648,133931.7186052706,True
cos_dm_v6_2_g1_report.json,global_mod_v6,g1,chi2,171,3375,127477.42868229108,11.4422700807502,31.70056500830507,0.3567251461988304,0.07602339181286549,127513.42868229108,127623.6633931506,0.7951015208781923,-10.221814154890016,2.5133749019983016,-0.004339615538246423,0.5439667793219071,0.7820777884819076,127488.85042077574,True
cos_dm_v6_3_amp_report.json,global_mod_v6_3,amplitude,chi2,171,3375,133930.70874733131,12.442958599618285,32.5141343325097,0.38596491228070173,0.08771929824561403,133980.70874733131,134133.81251241398,0.8293496994958162,-9.336598839175572,1.5780971394391223,-0.0033622592003695584,0.3800486139532179,0.6605397481110142,133930.7719106243,True
cos_dm_v6_3_g1_reg_report.json,global_mod_v6_3,g1,chi2,171,3375,123807.10986856496,11.294879954049557,32.92421468772268,0.39766081871345027,0.09941520467836257,123857.10986856496,124010.21363364763,0.8100299208224232,-8.50339137899519,1.5338980325538285,-0.016540864934132527,0.5162804623790601,0.6711453021155009,123830.84138031317,True
cos_dm_v6_3_g1_report.json,global_mod_v6_3,g1,chi2,171,3375,123807.76757732857,11.299041822283927,32.92591040363655,0.39766081871345027,0.09941520467836257,123857.76757732857,124010.87134241124,0.809737177819225,-8.505636190663182,1.5287854474465294,-0.0164472261240956,0.516705323694611,0.6722370618727318,123819.63386789353,True
cos_dm_v6_3_hybrid_report.json,global_mod_v6_3,hybrid,chi2,171,3375,137613.3704312582,11.748870776132366,33.40025914541866,0.38596491228070173,0.08187134502923976,137665.3704312582,137824.59834694417,1.2326642159851604,-8.0,0.10095185082571706,-0.007291319200976695,0.3666302802020613,0.5555221624119986,137617.4229774565,True
cos_dm_v6_4_g1_quick_report.json,global_mod_v6_4,g1,chi2,171,3375,117944.2650377373,13.156561297128103,32.1675101989662,0.39766081871345027,0.10526315789473684,117996.2650377373,118155.49295342328,0.8106861965329837,-8.985941113548098,2.2085387476396914,-0.011423773471018056,0.5145212490825443,0.7910736642438732,117949.83332785775,True
